Plant_ID;Variety;Treatment;Chamber;Biomass1;Biomass2;Height;Phyllochron12;Phyllochron13;Phyllochron14;Phyllochron23;Phyllochron24;Phyllochron34;Phyllochron1S;Type
1;Moy;CON;1;0,0000;0,092;25,6;11;17;24;6;13;7;35;Cultivar
2;Lilora;CON;1;0,0070;0,357;31,1;11;17;30;6;19;13;54;Cultivar
3;Solomon;CON;1;0,0460;0,935;34,2;10;19;25;9;15;6;39;Cultivar
4;Carraig;CON;1;0,1720;2,769;39;11;20;23;9;12;3;57;Cultivar
5;Dunluce;CON;1;0,0380;1,198;38,2;9;24;28;15;19;4;42;Cultivar
6;Aberchoice;CON;1;0,0040;0,284;32,5;10;19;23;9;13;4;26;Cultivar
7;Abergain;CON;1;0,0920;1,861;50,5;8;17;30;9;22;13;54;Cultivar
8;Aspect;CON;1;0,0400;1,171;52;11;20;26;9;15;6;37;Cultivar
9;Semi-natural6;CON;1;0,0130;0,668;41,7;10;16;22;6;12;6;50;Semi
10;Semi-natural7;CON;1;0,0170;0,883;32,5;11;17;23;6;12;6;NA;Semi
11;Semi-natural11;CON;1;0,0000;0,227;31,5;10;16;23;6;13;7;34;Semi
12;Wild4;CON;1;0,0030;0,133;25,8;12;15;28;3;16;13;42;Wild
13;Wild6;CON;1;0,0020;0,046;28,5;11;17;27;6;16;10;NA;Wild
14;Wild7;CON;1;0,0050;0,195;31,9;14;20;27;6;13;7;NA;Wild
15;Moy;CON;1;0,0070;0,305;32,9;10;13;20;3;10;7;34;Cultivar
16;Lilora;CON;1;0,0510;1,278;31,3;10;19;28;9;18;9;46;Cultivar
17;Solomon;CON;1;0,0720;1,957;34,7;8;17;20;9;12;3;40;Cultivar
18;Carraig;CON;1;0,0700;1,658;33,1;8;17;20;9;12;3;NA;Cultivar
19;Dunluce;CON;1;0,0220;0,598;34;12;18;28;6;16;10;42;Cultivar
20;Aberchoice;CON;1;0,0240;0,714;44;11;20;23;9;12;3;47;Cultivar
21;Abergain;CON;1;0,0000;0,056;24,5;12;24;38;12;26;14;45;Cultivar
22;Aspect;CON;1;0,0370;0,94;35,4;9;15;18;6;9;3;31;Cultivar
23;Semi-natural6;CON;1;0,0160;0,547;30,4;9;12;25;3;16;13;NA;Semi
24;Semi-natural7;CON;1;0,0050;0,224;31,5;12;18;25;6;13;7;39;Semi
25;Semi-natural11;CON;1;0,0000;0,018;21,3;10;16;40;6;30;24;-43831;Semi
26;Wild4;CON;1;0,0000;0,135;24,4;12;15;28;3;16;13;38;Wild
27;Wild6;CON;1;0,0020;0,115;28,2;15;18;28;3;13;10;42;Wild
28;Wild7;CON;1;0,0270;1,084;29,9;7;16;22;9;15;6;43;Wild
29;Moy;CON;1;0,0000;0,276;34,1;6;12;19;6;13;7;26;Cultivar
30;Lilora;CON;1;0,0150;1,264;33;11;20;29;9;18;9;-43824;Cultivar
31;Solomon;CON;1;0,0050;0,515;35,3;13;22;32;9;19;10;-43825;Cultivar
32;Carraig;CON;1;0,0950;1,786;40,5;11;20;23;9;12;3;47;Cultivar
33;Dunluce;CON;1;0,0090;0,22;27,5;13;16;26;3;13;10;40;Cultivar
34;Aberchoice;CON;1;0,0330;0,683;40,8;11;20;30;9;19;10;40;Cultivar
35;Abergain;CON;1;0,0340;1,09;43,8;12;18;28;6;16;10;38;Cultivar
36;Aspect;CON;1;0,0190;0,562;36,5;11;14;17;3;6;3;34;Cultivar
37;Semi-natural6;CON;1;0,0140;0,268;43;12;18;25;6;13;7;49;Semi
38;Semi-natural7;CON;1;0,0000;0,132;26;6;12;19;6;13;7;40;Semi
39;Semi-natural11;CON;1;0,0180;0,505;35,2;11;17;24;6;13;7;38;Semi
40;Wild4;CON;1;0,0480;1,488;46,9;8;17;26;9;18;9;44;Wild
41;Wild6;CON;1;0,0380;1,64;35,4;8;17;26;9;18;9;37;Wild
42;Wild7;CON;1;0,0710;2,364;31,1;11;17;26;6;15;9;44;Wild
43;Moy;WAT;1;0,0240;1,618;41,8;7;13;19;6;12;6;40;Cultivar
44;Lilora;WAT;1;0,0530;1,985;35,5;11;20;29;9;18;9;43;Cultivar
45;Solomon;WAT;1;0,0350;2,026;39,6;8;17;26;9;18;9;44;Cultivar
46;Carraig;WAT;1;0,0950;2,614;50,2;11;17;26;6;15;9;44;Cultivar
